	TYPE	FIRMA	TİP	MODEL	GUC	KAPASİTE	SASE SERI NO	MOTOR SERI NO
No								
1	YERALTI DELİCİ	Atlas Copco 	L3C	2000	170 kW	3 Bom Sepet	AVO00A034 / 8991 2381 00	443600
2	YERALTI DELİCİ	BPI Böhler 	PRL-27	2000	66 kW	2 Bom Sepet	341	8166403
3	YERALTI DELİCİ	Atlas Copco	Rocket Boomer XL3C	2003	170 kW	3 Bom Sepet	AVO 03A168 / 8991 3247 00	846144
4	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer 282	2006	130 kW	2 Bom	AVO06A324 / 8991 4176 00	8756365
5	YERALTI DELİCİ	Mine Master	Face Master 2.0	2007	88 kW	Tek Bom	396/MM	10264660
6	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer 282	2005	130 kW	2 Bom	AVO05A125 / 8991 3694 00	8729118
7	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer 282	2008	121 kW	2 Bom	AVO08A400 / 8991 5023 00	8811219
8	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer 282	2008		2 Bom	AVO08A618 / 8991 7395 00	8D2XL06.5095
9	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer L2D	2008	120 kW	2 Bom,Sepet	AVO08A517 / 8991 7357 00	10708511
10	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer 282	2018	130 kW	2 Bom	CNN17URE0150 / 8999 2902 00	
11	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer 282	2018	130 kW	2 Bom	CNN17URE0224 / 8999 3081 00	08920520
12	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer 282	2018	130 kW	2 Bom	CNN17URE0225 / 8999 3082 00	
13	YERALTI DELİCİ	Sandvik	DS411-C	2018	55 kW		118B55677-1	22265870
14	YERALTI DELİCİ	Sandvik	DS411-C	2020	55 kW		120B65074-1	904.975-C-1168130
15	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer 282	2013			NAN130128 / 8999 1056 00	
16	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer 282	2014			NAN130395 / 8999 1338 00	
17	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer 282	2012			NAN120121 / 8999 0258 00	08862365
18	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer 282	2022	130 kW		CNN22URE0094 / 8999 6232 00	08940713
19	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer 282	2022	130 kW		CNN22URE0095 / 8999 6233 00	08940712
20	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer 282	2014			NAN140168 / 8999 1662 00	08852606
21	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer 282	2015	130 kW		AVO15A207 / 8991 3100 00	08898668
22	YERALTI DELİCİ	Sandvik	DS411-C	2022			122B80093-1	904.975 U1 391.104
23	YERALTI DELİCİ	Sandvik	DS411-C	2020	80		120B65080-1	
24	YERALTI DELİCİ	Sandvik	DD320S	2018	125 kW	2 Bom	118D53585-1	904.975-C-1148056
25	YERALTI DELİCİ	Sandvik	DD321-40C	2015	110 kW		115D42653-1	904.975-C-1090670
26	YERALTI DELİCİ	Sandvik	DD320S	2021	110 kW	2 Bom	L21D7477	904.975-C-1171690
27	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer 282	2006	55 kW	2 Bom	AVO06A289 /  8991 4121 00	8763131
28	YERALTI DELİCİ	Sandvik	DS411-C	2022	110 kW		122B78272-1	904.975-U1-367.952
29	YERALTI DELİCİ	Atlas Copco 	Boltec 235	2012	60 kW		AVO12A498(Avo12C027) / 8991 9224 00	08869519
30	YERALTI DELİCİ	Sandvik 	DT621	2022	140 kW		122D77498-1	904.975-U-1343095
31	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer L2D	2002	160 kW	2 Bom Sepet	AVO02A129 / 8991 3010 00	736045
32	YERALTI DELİCİ	Atlas Copco 	Rocket Boomer L2D	2005	160 kW	2 Bom Sepet	AVO05A041 / 8991 3598 00	01051229
33	YERALTI DELİCİ	Epiroc	Boomer S2	2023	110 kW	2 Bom	TMG23URE0586 / 8999 6979 00	13064159
34	YERALTI DELİCİ	Epiroc	Boomer S2	2023	110 kW	2 Bom	TMG23URE0371 / 8999 6980 00	13103193
35	LASTİKLİ YÜKLEYİCİ	Volvo	L 180F	2007	234 kW	3.7m3	11219	628945
36	YERALTI LASTİKLİ YÜKLEYİCİ	GHH	LF-6.3	2008	110 kW	6 t, 3m3	3122/11	9173104
37	LASTİKLİ YÜKLEYİCİ	Caterpillar	930 B					
38	LASTİKLİ YÜKLEYİCİ	Caterpillar	950 GC	2015			M5K00478	
39	LASTİKLİ YÜKLEYİCİ	Caterpillar	962 H	2016	157 kW	3,3 m3	PCW00366	TX702081
40	LASTİKLİ YÜKLEYİCİ	Caterpillar	950 H	2016	146 kW		MXL01756	TX702256
41	YERALTI LASTİKLİ YÜKLEYİCİ	Sandvik	LH 410	2020	220 kW		L010D1304	926.929-C-1163883
